epoch,train_loss,train_mae,val_mae,val_rmse,val_r2
0,0.1421799680071983,0.45051467,0.3426938,0.42504174,0.13707793
1,0.05163142346668498,0.29392007,0.22823276,0.27964854,0.6264631
2,0.023454809942979986,0.20399688,0.17742002,0.20841576,0.7925232
3,0.021651069123669608,0.19537744,0.17433985,0.20469591,0.79986334
4,0.02047738078513494,0.18947321,0.16589303,0.21359274,0.78208786
5,0.019204235274659615,0.1824113,0.15793674,0.19120319,0.8253781
6,0.01921502083627917,0.18142967,0.15381041,0.18827009,0.8306945
7,0.016912738044277367,0.17255476,0.15912035,0.21350692,0.7822629
8,0.016979368822046207,0.17160887,0.17010494,0.20586869,0.79756343
9,0.016205199607573478,0.1671569,0.15990865,0.19526452,0.81788105
10,0.01584926049132113,0.1650399,0.17317095,0.20174706,0.8055881
11,0.015006713623781061,0.16008133,0.16187589,0.20216289,0.80478585
12,0.015050595795050524,0.16046277,0.24603923,0.29343635,0.5887213
13,0.014154306823573581,0.15561484,0.1812686,0.2133511,0.7825807
14,0.013872053328070219,0.1542434,0.17927673,0.21725087,0.77455974
15,0.013547058765523232,0.15094867,0.1811765,0.21087754,0.7875929
16,0.013363948311750343,0.15092428,0.18809488,0.23956326,0.7258749
17,0.013003643955368625,0.14875239,0.21295606,0.27895552,0.62831223
18,0.014263201390037715,0.15405613,0.19164555,0.23168194,0.7436149
19,0.012794950294612658,0.14686626,0.19933167,0.24947046,0.70273304
20,0.013761997785382342,0.15065116,0.19061615,0.22545767,0.7572057
21,0.012057576005425806,0.14225234,0.17626841,0.21753553,0.7739686
22,0.011970896727809086,0.14178324,0.22135448,0.27762994,0.6318363
23,0.011849723898175102,0.14162643,0.20161353,0.24624819,0.7103627
24,0.013886035312894911,0.15164483,0.22679865,0.28044972,0.6243197
25,0.012069779256697792,0.14296378,0.16765428,0.19594139,0.8166163
26,0.011357298831583795,0.13759667,0.205003,0.2489761,0.70391
27,0.011591716641836827,0.13772541,0.17180334,0.2064007,0.79651576
28,0.011979976130588446,0.14059466,0.1575527,0.20606363,0.7971799
29,0.01087074836904732,0.13447753,0.17146614,0.209717,0.7899244
30,0.011199794757915469,0.13609062,0.1732721,0.22412872,0.7600596
31,0.010650611327221988,0.13402736,0.1784992,0.2140238,0.78120744
