epoch,train_loss,train_mae,val_mae,val_rmse,val_r2
0,0.025378337570273125,0.23674941,0.21691012,0.2757276,0.62380457
1,0.015997699797824696,0.19078565,0.20117152,0.2539748,0.68082106
2,0.012665797097457422,0.16836156,0.18289912,0.22652526,0.7460862
3,0.0099734870361181,0.14804225,0.24196318,0.3247439,0.47816277
4,0.008692099164063867,0.13734822,0.14062324,0.20386608,0.79434323
5,0.00754538106606216,0.1278181,0.20700744,0.27725747,0.6196183
6,0.006724869561893446,0.12016111,0.18422167,0.24338359,0.70688665
7,0.006254672942397831,0.11529412,0.15876564,0.19246297,0.81670636
8,0.006024476340090906,0.11496732,0.2694083,0.34784836,0.40126735
9,0.0053425966931490215,0.10685059,0.3295858,0.41971543,0.12830824
10,0.005460800619896602,0.10921576,0.20689112,0.2585064,0.6693294
11,0.004712705332953651,0.100708626,0.14426753,0.19164631,0.8182586
12,0.004586821461750849,0.099221826,0.1666754,0.22495912,0.74958503
13,0.004450546362110086,0.09816945,0.21611197,0.2926554,0.5761949
14,0.004511060392030993,0.09788596,0.1169509,0.1504474,0.8879989
15,0.003801030608582067,0.09170743,0.118234664,0.15902409,0.87486494
16,0.0040431753135714175,0.09332735,0.17987928,0.2359265,0.724573
17,0.0036062940764702385,0.088734485,0.15134367,0.20314766,0.79579014
18,0.003810545679030789,0.08995815,0.13419038,0.14975622,0.8890256
19,0.0033412516856700315,0.08397849,0.17187779,0.2257283,0.74786973
20,0.0032284875339534773,0.08313476,0.116769135,0.132663,0.91291314
21,0.003479755379192464,0.08643008,0.12507579,0.14189135,0.9003758
22,0.003372397866133634,0.08363593,0.121708825,0.15186553,0.8858775
23,0.0029778077065743306,0.079389855,0.12697954,0.18105671,0.8377883
24,0.0028586777297964503,0.07765386,0.21522322,0.29147148,0.579617
25,0.0029069270076112702,0.07716717,0.14193518,0.16624053,0.86325014
26,0.002729850294706118,0.07505513,0.11738895,0.14494117,0.8960471
27,0.0028433666347215574,0.07629125,0.2901325,0.38604063,0.26257288
28,0.0028268504034526447,0.07540914,0.12805688,0.16911922,0.8584731
29,0.002543139322702815,0.072552495,0.18192132,0.23226804,0.7330488
30,0.0027491976106791076,0.07463763,0.2823939,0.3652507,0.33986133
31,0.0024542590532753918,0.07008682,0.13936721,0.16938987,0.8580197
32,0.001840507485945751,0.06108643,0.13323706,0.17007697,0.8568656
33,0.0018073150426619225,0.059424262,0.13491927,0.15925083,0.8745079
34,0.0016542349114745587,0.057621695,0.14606997,0.19216606,0.8172715
35,0.0015615277158658582,0.054673225,0.19358741,0.25503993,0.6781382
36,0.0015521959372301092,0.055005234,0.2035073,0.25056055,0.68934494
37,0.0015073965983213606,0.053973332,0.14381331,0.18064071,0.8385328
38,0.0015168826766773589,0.054048546,0.15489207,0.19509514,0.81165856
39,0.0015459904398114697,0.053957224,0.13423191,0.17407317,0.8500602
40,0.0014920914974399246,0.05357699,0.16834743,0.21173438,0.77816206
41,0.0014990247578175553,0.05306203,0.18225104,0.23119806,0.7355026
42,0.0014710761286603573,0.051915564,0.14004177,0.18202546,0.83604777
43,0.0013323210851868262,0.050080605,0.14250892,0.18512382,0.8304188
44,0.001256864252668042,0.048407186,0.14027733,0.17635979,0.8460952
45,0.0012895366295685505,0.048617635,0.14319843,0.18001689,0.8396461
