epoch,train_loss,train_mae,val_mae,val_rmse,val_r2
0,0.05662902005538855,0.4022379,0.16503368,0.18810229,0.8164899
1,0.01777130634199774,0.22834742,0.16954075,0.20656995,0.7786874
2,0.016963040121382007,0.22203763,0.088050246,0.115471125,0.9308458
3,0.01585017666039791,0.21569896,0.12089657,0.14396164,0.89251065
4,0.015402072097223765,0.20999245,0.11617756,0.13765384,0.90172374
5,0.014296164970223629,0.20622048,0.12777095,0.15981448,0.8675341
6,0.012842775013947523,0.1935538,0.12611608,0.15280817,0.8788942
7,0.012617292120252642,0.19186917,0.12408922,0.15841566,0.8698428
8,0.011590844211406206,0.18316238,0.1528083,0.19589002,0.80098015
9,0.011155479665638514,0.18115094,0.14145836,0.19324562,0.80631715
10,0.010436894637387124,0.17402984,0.19453345,0.2401463,0.7008951
11,0.01102370345611792,0.17857032,0.22856568,0.2826558,0.58563066
12,0.010082817303055084,0.17041017,0.14590427,0.19981983,0.7929148
13,0.009463721080502297,0.16527034,0.17286298,0.22849856,0.7292062
14,0.009826350420208397,0.16718556,0.15836944,0.1961557,0.80043995
15,0.009595395538598435,0.16529964,0.12219328,0.18386231,0.8246696
16,0.008943363568785985,0.15927842,0.12149992,0.16171573,0.86436355
17,0.009264032916085737,0.16169196,0.1991101,0.2610299,0.6466116
18,0.008281888955209605,0.15166312,0.12479137,0.16783614,0.8539025
19,0.008724136021263438,0.15515067,0.14691246,0.181741,0.82869196
20,0.0073250942613137925,0.14326653,0.17561093,0.22501075,0.73740995
21,0.007685504314650675,0.14621495,0.16130708,0.2078275,0.77598464
22,0.007226300107347811,0.13955642,0.17153321,0.2035944,0.7850173
23,0.006787358832127796,0.1344974,0.14716676,0.17608482,0.83918905
24,0.007173880680428033,0.13911696,0.15701558,0.19244303,0.8079226
25,0.006620447925218897,0.13159394,0.18782926,0.22290038,0.74231243
26,0.006092335035781868,0.12697433,0.20248066,0.25698563,0.65747726
27,0.005686976531235344,0.12283853,0.14001332,0.17716001,0.8372192
