epoch,train_loss,train_mae,val_mae,val_rmse,val_r2
0,0.0532958482599308,0.38650084,0.23929903,0.27162078,0.61735344
1,0.015899632495265822,0.21381098,0.15894835,0.1875392,0.8175869
2,0.013669156186070942,0.19854414,0.13071406,0.16943178,0.8511114
3,0.012247955422055904,0.18660551,0.19920032,0.24312092,0.6934393
4,0.01041081502171374,0.1735275,0.17618446,0.2172284,0.75526
5,0.008887857670507865,0.16200349,0.2529756,0.31345224,0.49041742
6,0.00873227478911789,0.15941973,0.14990203,0.1997279,0.79310536
7,0.007987124521391142,0.15521312,0.12012027,0.17310475,0.84458613
8,0.007476779260838499,0.14927883,0.16278169,0.1894541,0.8138428
9,0.008487420856219485,0.15851432,0.1337246,0.17699924,0.8375145
10,0.007027371231484603,0.14514743,0.1260945,0.17921314,0.8334243
11,0.006138233154591325,0.13685541,0.13899659,0.17139149,0.84764725
12,0.005738169569922295,0.1315283,0.24107815,0.29568318,0.54655457
13,0.005701923810012706,0.13127543,0.18617082,0.23083235,0.7236464
14,0.005387835549410079,0.12683672,0.1866609,0.24627562,0.68543196
15,0.004976646046587269,0.12121779,0.14462887,0.1760629,0.83922905
16,0.0049474174243914985,0.11916059,0.17722474,0.2347119,0.71427906
17,0.005178193372628462,0.122839,0.15042566,0.19201605,0.808774
18,0.005345471004541765,0.12427784,0.14314042,0.20137028,0.7896887
19,0.004778163219729151,0.117056325,0.17179453,0.21872644,0.7518728
20,0.004751291302854372,0.11521716,0.2315451,0.27908394,0.59603703
21,0.005149522941167145,0.12012357,0.17955074,0.21978417,0.74946713
22,0.0043849581245872515,0.109445274,0.1719265,0.20758975,0.7764969
23,0.004538839778456933,0.1120007,0.29398772,0.36024845,0.32690555
24,0.004715395799940627,0.11370255,0.18354832,0.21595165,0.7581284
25,0.0044892119712952065,0.109721534,0.18967159,0.21703522,0.75569504
26,0.0039149605044972455,0.10284265,0.18271723,0.21834081,0.75274694
27,0.004104504408218013,0.10593053,0.2017251,0.25766072,0.6556753
28,0.0043680959297905594,0.10864737,0.18682146,0.21698053,0.7558182
29,0.003947749477375508,0.1038341,0.24606596,0.28957278,0.5651022
30,0.0038899492823511713,0.10193567,0.19765115,0.23659593,0.70967376
31,0.003760722458713681,0.098254286,0.26405436,0.31783077,0.47608155
32,0.0035079854439843345,0.09436679,0.21456823,0.2685578,0.6259348
