epoch,train_loss,train_mae,val_mae,val_rmse,val_r2
0,0.022704772432725194,0.25002462,0.12748872,0.16231683,0.8633534
1,0.009850593108221712,0.17808002,0.28766635,0.37133315,0.28484648
2,0.00921737061192592,0.1729506,0.42109352,0.49888375,-0.2908343
3,0.007687418225620843,0.15730743,0.17793645,0.23235999,0.7199765
4,0.006484671294165108,0.14605346,0.15748726,0.19987284,0.79280496
5,0.0056582197099369035,0.13553408,0.20818257,0.2834677,0.58324677
6,0.004909511919217914,0.12758274,0.13705233,0.16357514,0.86122656
7,0.0048317407649617105,0.124138564,0.16600223,0.2200633,0.74883044
8,0.004334287620804641,0.11572712,0.19831982,0.26818582,0.6269703
9,0.004178222147483257,0.11180746,0.12944598,0.18466783,0.82312995
10,0.0036955827043429843,0.1046077,0.16710569,0.20434861,0.7834216
11,0.0034751387934858135,0.09918801,0.16543972,0.20096922,0.7905256
12,0.003502876522007888,0.09875047,0.2557311,0.31789652,0.47586483
13,0.0032409619746022367,0.0958115,0.21401589,0.26220226,0.6434301
14,0.0030263232255040855,0.09088399,0.14456,0.19022971,0.81231546
15,0.0031168350629761496,0.091528066,0.3081117,0.41776717,0.09480864
16,0.0027902194242976084,0.08520165,0.15690148,0.21573262,0.75861883
17,0.0025591799128208146,0.08210812,0.17822549,0.21993344,0.7491268
18,0.002757360924203762,0.0842615,0.4747831,0.55325687,-0.58754265
19,0.0024015448028812275,0.080745034,0.17527999,0.19944642,0.79368806
20,0.002386596973624651,0.07688284,0.111151494,0.17596285,0.83941174
21,0.002352262174369211,0.07567467,0.33799383,0.41316137,0.11465776
22,0.002028125506344594,0.070959315,0.16149427,0.21658543,0.7567066
23,0.0017623128842614716,0.06622041,0.17507872,0.21026242,0.77070475
24,0.001884110508956485,0.06866957,0.19785,0.24732958,0.68273365
25,0.0017069028761452134,0.06440416,0.16875474,0.22150876,0.74552
26,0.0020551363933038894,0.070688546,0.17848666,0.22886331,0.728341
27,0.001649258845619346,0.06179207,0.63679683,0.72961503,-1.7609551
28,0.00172004590838133,0.06371557,0.23503113,0.2957828,0.546249
29,0.0016208964344972456,0.06272137,0.17655091,0.23978609,0.70179164
30,0.0015389643293596954,0.061210785,0.14002529,0.17967592,0.8325629
31,0.0012880224000878131,0.05415502,0.15974343,0.22419907,0.73930097
32,0.0012764173075547074,0.054831322,0.1755483,0.22159882,0.74531305
33,0.00168360070288646,0.06401186,0.18484452,0.23956548,0.7023401
34,0.0012295336736613343,0.05432843,0.15227613,0.21333818,0.7639473
35,0.0013271262598571214,0.056825787,0.13773257,0.17901047,0.8338009
36,0.0012793195052236985,0.055180144,0.52469647,0.63499546,-1.0912843
37,0.0011950022456196168,0.05259233,0.195066,0.24459411,0.6897128
38,0.0012992860092500731,0.055642437,0.3143335,0.37339142,0.27689648
39,0.0013166126284111944,0.05905082,0.19182532,0.24627653,0.68542963
40,0.0016663843143520953,0.06426713,0.16855668,0.20325318,0.78573734
41,0.0012138756394627674,0.05467351,0.17832515,0.23414862,0.71564883
42,0.0010951513990497491,0.051444385,0.15802892,0.22020921,0.74849725
43,0.0012714093417037027,0.055275634,0.15786378,0.2139797,0.7625255
44,0.001109254477525934,0.05269572,0.1815181,0.23898661,0.7037769
45,0.0010080621513661981,0.049300276,0.24917059,0.3214461,0.46409458
