epoch,train_loss,train_mae,val_mae,val_rmse,val_r2
0,0.029598929325901874,0.56137687,0.25405398,0.33496603,0.8940601
1,0.01623831988358798,0.44106677,0.23326543,0.29050827,0.92031527
2,0.013494673155971621,0.40305305,0.2739617,0.3187117,0.9040922
3,0.012112495456025742,0.38260996,0.19661866,0.24514793,0.94325674
4,0.010778094699382935,0.35892132,0.15956075,0.20708293,0.9595101
5,0.009516391676123165,0.33554882,0.23445317,0.3549899,0.88101566
6,0.008562898802252888,0.31567362,0.25617087,0.351441,0.88338274
7,0.007217160168923994,0.2886395,0.17759646,0.23002099,0.9500434
8,0.006394505185120001,0.26941204,0.3020696,0.37033126,0.87050927
9,0.005444260384966705,0.24662216,0.21077296,0.27780026,0.9271343
10,0.00503438700477502,0.23545142,0.25797805,0.419488,0.8338512
11,0.004344945220424664,0.21538006,0.34879604,0.53339756,0.73136663
12,0.003885751586977177,0.20185275,0.253058,0.37829062,0.8648833
13,0.003414371341263511,0.18816978,0.22236049,0.31467897,0.9065039
14,0.003200616286223926,0.17941211,0.24018677,0.39005128,0.8563514
15,0.0029220405406754626,0.17112875,0.26967916,0.42900127,0.8262299
16,0.002718148561118487,0.16397326,0.22836757,0.2957335,0.917423
17,0.002411842042900434,0.15254301,0.22809637,0.34401396,0.88825965
18,0.0025560433196974703,0.15600954,0.24329731,0.32161674,0.9023358
19,0.002142730252699839,0.14470623,0.27586308,0.41457397,0.8377211
20,0.0019981820118893305,0.13924362,0.23850656,0.35128766,0.8834845
21,0.001969504184918828,0.13795075,0.24001302,0.37555185,0.8668326
22,0.0018492429556953309,0.13412064,0.28394082,0.416764,0.83600205
23,0.001799638614942524,0.13109238,0.27782458,0.398247,0.8502513
24,0.0016671710801105528,0.12701854,0.2982537,0.41206565,0.8396789
25,0.0017262023286577612,0.12761095,0.2672848,0.38569108,0.859545
26,0.0016397841283605768,0.12583885,0.21868809,0.33329716,0.8951131
27,0.0015906119871292462,0.12201555,0.23812737,0.3511441,0.8835797
28,0.001559047039516662,0.121144384,0.25859073,0.36765212,0.8723761
29,0.0015838805690432038,0.12223529,0.25849575,0.3599649,0.87765723
