epoch,train_loss,train_mae,val_mae,val_rmse,val_r2
0,0.1967109903941492,0.5922575,0.29760477,0.38841274,-0.5226053
1,0.035175688212129755,0.26182792,0.26294616,0.34557298,-0.20525777
2,0.0243479993286102,0.21637386,0.24644405,0.3498678,-0.23540223
3,0.01788240316013795,0.18509176,0.20174208,0.31340763,0.008666992
4,0.014554581186803636,0.168713,0.19850565,0.29824057,0.102294445
5,0.014239354518126805,0.16886479,0.21116114,0.3268778,-0.07837868
6,0.012609135207041568,0.15796374,0.2138948,0.29922783,0.09634137
7,0.012566432392369056,0.15975033,0.1971508,0.27291173,0.24829954
8,0.011305395970325687,0.14881639,0.18993297,0.28515694,0.17933053
9,0.011300047318208436,0.14885308,0.20013438,0.29434684,0.12558174
10,0.010914379411458652,0.14752592,0.2150541,0.3154474,-0.004278779
11,0.010651706681249222,0.14588775,0.21882978,0.32944465,-0.09538126
12,0.010786189114284944,0.14581014,0.17577334,0.28745767,0.16603428
13,0.01024766680144675,0.1436249,0.18325749,0.29564112,0.1178751
14,0.010000318095161774,0.14257169,0.17634611,0.27457285,0.23912102
15,0.009928241594312446,0.14136496,0.19329415,0.28772593,0.16447693
16,0.009447473363329666,0.13886108,0.18152364,0.25921586,0.32185346
17,0.009836489220676762,0.13959745,0.19266258,0.26126143,0.31110823
18,0.009349785057391069,0.13796829,0.2018647,0.32472956,-0.064251065
19,0.008857028489355318,0.13328859,0.21145988,0.27764484,0.22199988
20,0.009340091358822588,0.13798438,0.1795559,0.28473753,0.18174285
21,0.008433726865396108,0.1299749,0.17565529,0.272465,0.25075853
22,0.009024127017219942,0.13414481,0.19368094,0.28712395,0.16796947
23,0.009032478182585818,0.13435236,0.19783926,0.2755596,0.2336424
24,0.008550619467102446,0.13183726,0.18557195,0.25939396,0.3209213
25,0.008483721758379536,0.1309916,0.19759542,0.290349,0.14917332
26,0.008685927850119382,0.13191992,0.19424075,0.27984613,0.20961434
27,0.008329853082408122,0.12910838,0.19313838,0.26891878,0.2701347
28,0.008356157134439319,0.13005057,0.20648132,0.30995485,0.030389607
29,0.008833870975189567,0.13305263,0.18625337,0.27504176,0.23651993
30,0.008142449520168472,0.12827463,0.19504923,0.28660366,0.17098212
31,0.007768895962396787,0.12503318,0.1832161,0.26378557,0.29773253
32,0.0086508109080215,0.13060068,0.175835,0.23986688,0.4193145
33,0.007996366524821935,0.12673,0.17587616,0.24721393,0.3831973
34,0.007933939227767323,0.12783937,0.20063595,0.30451995,0.06409472
35,0.008244863758527104,0.12864383,0.17148913,0.26845765,0.27263564
36,0.00809256092705277,0.12657787,0.18510266,0.26753032,0.27765208
37,0.007920403286285719,0.12663394,0.153409,0.23277931,0.45312357
38,0.008024251235136661,0.12577553,0.20459615,0.30888075,0.03709793
39,0.007953528870788642,0.12712525,0.16950206,0.2511828,0.36323357
40,0.007706305267259144,0.1261943,0.21768993,0.320091,-0.034063816
41,0.007903669084800353,0.12582785,0.20844379,0.2715012,0.2560495
42,0.007626123610992804,0.124083765,0.15125409,0.23324986,0.45091045
43,0.007177982278045854,0.11971132,0.14384237,0.2439093,0.39957726
44,0.007958905642168033,0.12495584,0.19935521,0.3043011,0.06543934
45,0.007102535711005384,0.11922423,0.15729961,0.2426746,0.40564072
46,0.007292110796890068,0.12127254,0.1755516,0.25211862,0.35847998
47,0.007043304234771006,0.118940525,0.16085447,0.24410212,0.39862758
48,0.007054986588502169,0.11894072,0.17016086,0.25954252,0.32014322
49,0.007126171072817704,0.11907802,0.16797382,0.24894863,0.37451065
50,0.0069623858534317825,0.11825185,0.19444257,0.28399613,0.18599832
51,0.0073018243466183436,0.12059942,0.22390252,0.30750087,0.045681953
52,0.006760250971659539,0.116462864,0.16021788,0.23410062,0.44689757
53,0.006668411901360569,0.11491636,0.21825339,0.33514988,-0.13364887
54,0.006596106874619999,0.113663584,0.20263748,0.32194537,-0.046079755
55,0.006576145621859108,0.11411916,0.15098837,0.24152543,0.4112565
56,0.006324324925088042,0.11260245,0.1790197,0.2593548,0.32112628
57,0.006226900827109929,0.11132285,0.19583012,0.26022857,0.31654423
58,0.00717575440578661,0.11814865,0.21608,0.3018074,0.08069378
59,0.006633471353017774,0.11579728,0.14810829,0.24089038,0.41434836
60,0.006288240845766089,0.111627795,0.2080597,0.30623558,0.053519428
61,0.006194438580877897,0.110773794,0.16717134,0.24611259,0.38868076
62,0.006022812259189859,0.108976796,0.177684,0.26398766,0.29665625
63,0.005898928708754222,0.10819471,0.16368173,0.24779575,0.38029057
64,0.00603907901669572,0.110579796,0.17451829,0.26110613,0.31192696
65,0.00635250625028519,0.11257315,0.15132107,0.2348674,0.44326842
66,0.005905650783014438,0.10867999,0.2370585,0.34586927,-0.20732546
67,0.006155248195881128,0.11120449,0.2264445,0.33201998,-0.11257398
68,0.006337990912126836,0.11147932,0.19563746,0.28142053,0.20069599
