epoch,train_loss,train_mae,val_mae,val_rmse,val_r2
0,0.04874397333617587,0.28267807,0.21895124,0.30840102,-0.16969419
1,0.015647155721731042,0.1517526,0.19036576,0.2860792,-0.0064988136
2,0.013659946322931611,0.14450343,0.17329003,0.2740127,0.07661641
3,0.011213059190529052,0.12962388,0.17404802,0.2487406,0.23908865
4,0.01024032975629843,0.123698875,0.20706345,0.29329318,-0.05790007
5,0.009663760069164785,0.1195585,0.19744807,0.2879139,-0.019450188
6,0.008061197793425734,0.11111128,0.24293992,0.31158537,-0.19397402
7,0.008410979446120945,0.11266905,0.20509157,0.28290603,0.015705287
8,0.007840587532065584,0.10879603,0.2999186,0.3587208,-0.58253706
9,0.006833720578366517,0.102151364,0.2263901,0.3102784,-0.18397832
10,0.006677957366227752,0.10064974,0.16571599,0.2504703,0.22846925
11,0.007149109883509494,0.10283496,0.18601091,0.25288424,0.21352625
12,0.006293179352653098,0.097696744,0.16094868,0.24243173,0.27719754
13,0.005732558909687456,0.09285046,0.20306526,0.2865163,-0.009576917
14,0.005848540170438765,0.09377143,0.14726266,0.22898161,0.3551749
15,0.0051971555996852305,0.08885639,0.21221115,0.2922125,-0.050118327
16,0.005685613343810981,0.09308206,0.18264621,0.25288284,0.21353483
17,0.005359501896099505,0.0904533,0.16438542,0.23920658,0.29630095
18,0.004599430759724158,0.08359813,0.19214272,0.25698733,0.18779778
19,0.004894187338583535,0.08529359,0.1584763,0.23285133,0.33319604
20,0.004641052407786323,0.08219609,0.1494481,0.21370886,0.4383241
21,0.00430797677382579,0.08090452,0.17688075,0.24367383,0.269772
22,0.004408604787375634,0.08177869,0.16703098,0.22044708,0.40234655
23,0.004172899431632271,0.07861387,0.17276849,0.2109462,0.4527521
24,0.004362882935635868,0.080434054,0.1639443,0.22306462,0.3880695
25,0.004044628011088128,0.07715756,0.19988012,0.26422366,0.14141327
26,0.003509448925762522,0.07269437,0.20538266,0.26577595,0.13129538
27,0.003226966203011178,0.06903038,0.17882767,0.24441145,0.26534432
28,0.003260885730123745,0.07038063,0.21640657,0.2769208,0.05691272
29,0.003156468507782792,0.06806259,0.20271589,0.26684958,0.12426281
30,0.003237724737805282,0.0700005,0.17406675,0.23740092,0.30688465
31,0.003067135252359696,0.06767461,0.16426055,0.22568358,0.37361598
32,0.0031411816878792877,0.0683928,0.17520311,0.22939853,0.35282463
33,0.0029357250887004764,0.06620161,0.1693092,0.23064467,0.3457743
34,0.003127119924828365,0.068259194,0.18365414,0.24379069,0.2690714
35,0.003029298993326865,0.06723405,0.202791,0.26160544,0.15834463
36,0.0032864672075470854,0.0693044,0.19879086,0.25248137,0.21603
37,0.003124648070366884,0.06817427,0.18299684,0.24416286,0.266838
38,0.0029655875107602618,0.0662126,0.18479973,0.24458727,0.264287
39,0.002971646866678751,0.06621112,0.18748528,0.24929947,0.23566562
