epoch,train_loss,train_mae,val_mae,val_rmse,val_r2
0,0.02889723484802924,0.26894784,0.22252227,0.3492387,0.25728709
1,0.016898787873566384,0.20855321,0.30495253,0.42068326,-0.07767248
2,0.012712381788537846,0.18042703,0.25725758,0.33999974,0.29606348
3,0.009380073200330255,0.15545857,0.21412145,0.3376353,0.3058201
4,0.007832817521695097,0.1413556,0.62009424,0.7376523,-2.3134446
5,0.007219773511400212,0.13567074,0.29429394,0.409223,-0.019756198
6,0.005729331274680491,0.1223838,0.23326948,0.35486293,0.23317271
7,0.005739520334844217,0.12040791,0.33285663,0.4538808,-0.25446892
8,0.004635975731280842,0.10998069,0.28934914,0.40657046,-0.0065791607
9,0.004432308382191066,0.106706105,0.20279337,0.37605095,0.13886803
10,0.00453528892398321,0.106613845,0.302497,0.46974772,-0.34371042
11,0.004604900214241121,0.107488625,0.31429622,0.43077075,-0.12997472
12,0.0034533061470200838,0.09330582,0.3564878,0.4786317,-0.39501607
13,0.0033395821961463086,0.09255329,0.20799546,0.30518997,0.43282533
14,0.0034543264962455912,0.09182931,0.32648778,0.41385826,-0.042988658
15,0.0031623918483681926,0.08727522,0.19700162,0.33912557,0.29967856
16,0.0034416033406553135,0.090598926,0.4026304,0.49784094,-0.5092372
17,0.0027931520838850505,0.08290078,0.16845307,0.341405,0.29023254
18,0.0026264246112692193,0.080285504,0.22372213,0.37926447,0.12408763
19,0.0027507114669083625,0.081574485,0.18922034,0.30046165,0.45026374
20,0.002544550413395874,0.07919574,0.18057914,0.34430435,0.27812612
21,0.0023285466286816284,0.074158765,0.19855341,0.3673533,0.17824155
22,0.001909894099806987,0.068870716,0.27433723,0.38156837,0.11341357
23,0.002519948239218515,0.07731046,0.20232019,0.35345122,0.23926175
24,0.0018757255849515524,0.06787509,0.21181011,0.38169765,0.11281264
25,0.0020293903970112397,0.06863812,0.21358946,0.36189312,0.20248848
26,0.001895762416982482,0.06794161,0.24189521,0.38473243,0.098649085
27,0.0018131556127693395,0.066725045,0.24264733,0.38372967,0.10334152
28,0.001759446930877816,0.06464225,0.3564432,0.49707863,-0.50461876
29,0.0013569585264105609,0.056926016,0.19985203,0.36539367,0.18698543
30,0.0012611934997383632,0.054459676,0.17667986,0.29279175,0.4779718
31,0.0012706058906251775,0.05407751,0.2059295,0.37442952,0.14627796
32,0.0011995871139227241,0.052728076,0.20356162,0.37605482,0.13885039
33,0.00124203478130234,0.053536918,0.22210167,0.39136237,0.067316175
34,0.0011824061992163413,0.05240284,0.18971401,0.34069994,0.2931612
35,0.0011826289347637768,0.052218575,0.2008203,0.38226074,0.11019325
36,0.0011068096946883499,0.050309326,0.17977951,0.35793042,0.21985835
37,0.0011630900100482887,0.051730268,0.1953584,0.37416008,0.1475063
38,0.0011465327846602671,0.051168926,0.17410934,0.28780326,0.49560857
39,0.0011103519045227094,0.050307367,0.19566831,0.3713794,0.16013026
40,0.001071300208767187,0.04934561,0.1931084,0.36381415,0.19399923
41,0.001065636029002112,0.048564352,0.19642134,0.3711682,0.16108531
42,0.0010328892090288096,0.048170846,0.19197378,0.36391196,0.19356579
