epoch,train_loss,train_mae,val_mae,val_rmse,val_r2
0,0.025132060920408514,0.23789074,0.20990832,0.3420405,0.2875877
1,0.015175575505824643,0.18232249,0.21554242,0.32994458,0.3370843
2,0.011003035175202935,0.15263174,0.2659435,0.34170362,0.28899038
3,0.007823374018551328,0.13080195,0.25425273,0.34695348,0.26697487
4,0.006110364740854969,0.11521071,0.20804961,0.3554584,0.2305969
5,0.004686264695231551,0.09982609,0.21141413,0.36450946,0.1909154
6,0.0036578379715121612,0.08771489,0.20694451,0.2905702,0.4858635
7,0.0032334462949284563,0.083472684,0.21138266,0.31401885,0.399535
8,0.003051676739126272,0.079619534,0.20506163,0.30443543,0.43562633
9,0.003384603942699336,0.08129244,0.2652234,0.38872644,0.07983756
10,0.002824363629147515,0.07592229,0.19415897,0.2925042,0.47899663
11,0.002511825669464563,0.07128435,0.20997359,0.31803128,0.38409185
12,0.0020582049863249368,0.065597214,0.27263767,0.3837043,0.103460014
13,0.0023703240500532324,0.06875121,0.22012357,0.3655524,0.18627888
14,0.0017861484769922638,0.06127238,0.22708558,0.38110012,0.11558837
15,0.0019174003175869878,0.06308471,0.15480727,0.2505039,0.6178751
16,0.0018723700546894458,0.061340544,0.25927067,0.32882106,0.3415913
17,0.0014745549775430878,0.056535084,0.18413,0.2827807,0.5130596
18,0.0022143762841412215,0.06332157,0.18697792,0.28396103,0.5089861
19,0.0018601303595746973,0.059372723,0.16378309,0.2740032,0.5428196
20,0.0014146016205363143,0.054502353,0.2771601,0.40354326,0.008354425
21,0.0015388301572120573,0.05516899,0.5262098,0.69080806,-1.9059701
22,0.0019274311103341002,0.060505442,0.2187774,0.3858096,0.09359485
23,0.0014108586748317303,0.05427983,0.27659515,0.4292591,-0.122058034
24,0.0019325809629302606,0.05796038,0.23084652,0.38603595,0.092530966
25,0.0012528890855481895,0.05098825,0.26800612,0.40366006,0.007780254
26,0.0011819325008800333,0.0488318,0.1929852,0.28621182,0.5011713
27,0.000806048135157792,0.041615747,0.18581133,0.2789648,0.5261127
28,0.0007961577058259527,0.041311063,0.17737612,0.27123663,0.55200523
29,0.0007914641223373814,0.041180138,0.21305242,0.3541902,0.23607731
30,0.0007784945554630138,0.040579032,0.22312234,0.3807509,0.11720848
31,0.0007880923911396347,0.03974623,0.1786286,0.27450013,0.5411598
32,0.0007853503099410387,0.039725047,0.18703821,0.2796306,0.5238479
33,0.0007860591272096703,0.040069435,0.18678616,0.2815705,0.51721853
34,0.0007394148469265437,0.03983063,0.18060742,0.2778601,0.52985835
35,0.0007079144418205508,0.038668267,0.18382993,0.27831364,0.5283224
36,0.00075959928275355,0.03980994,0.1864694,0.28479332,0.50610363
37,0.0006811196981616704,0.037568063,0.18070672,0.27923173,0.52520525
38,0.0006650275770732913,0.037105273,0.18572637,0.2808827,0.5195743
39,0.0006527698991015535,0.036782775,0.18698783,0.28434575,0.50765467
40,0.0006601673431014369,0.036923744,0.22221486,0.3660636,0.18400145
