epoch,train_loss,train_mae,val_mae,val_rmse,val_r2
0,0.08209467672291246,0.33754146,0.15522644,0.21466768,0.6708313
1,0.03132034822570381,0.20740312,0.12621972,0.18320608,0.76024646
2,0.027158104767632165,0.19108452,0.2747658,0.3309576,0.21759814
3,0.025754473887407727,0.18615408,0.17667618,0.23192312,0.61578596
4,0.023413927238920027,0.17913073,0.09945709,0.12254782,0.8927255
5,0.01968226062907486,0.16448624,0.23235369,0.32904866,0.22659767
6,0.017205698308721987,0.15458895,0.10451155,0.12712476,0.8845629
7,0.01508515344282195,0.14534232,0.09376797,0.16476384,0.80608606
8,0.014357285922347697,0.14048648,0.12250303,0.17503938,0.78114486
9,0.013345942776859042,0.13623232,0.107291766,0.11985198,0.89739335
10,0.012781416921968141,0.13228177,0.114909396,0.15754364,0.8227089
11,0.012037900571501196,0.12905985,0.109766304,0.15807557,0.82150966
12,0.01120139286150265,0.12490186,0.08815816,0.11360893,0.9078044
13,0.011061097175757572,0.12333344,0.15543579,0.22419976,0.6409496
14,0.010731504054003837,0.12147869,0.12518848,0.20546854,0.6984385
15,0.010384096815099709,0.11909509,0.094147,0.11124758,0.91159713
16,0.010714047551409584,0.11967619,0.085499205,0.113149166,0.90854913
17,0.010380814313637375,0.11851093,0.1288291,0.1802731,0.7678616
18,0.009325906367077754,0.11219128,0.10520513,0.16798119,0.798439
19,0.008678977325085083,0.10875288,0.09491601,0.12154417,0.89447546
20,0.008697175015013861,0.1070781,0.13155958,0.18804048,0.7474264
21,0.008773354938974503,0.10803644,0.103655964,0.14996488,0.83935606
22,0.00796189990844554,0.103148885,0.079013854,0.10548919,0.9205121
23,0.008156606428415909,0.10295335,0.14790456,0.20030731,0.71339834
24,0.008054774619461604,0.1026737,0.11354596,0.2045695,0.70107174
25,0.007721137631776657,0.099335216,0.08944094,0.111881584,0.91058666
26,0.006859030906024419,0.09407287,0.11667216,0.20116134,0.7109491
27,0.006553381466229084,0.09046149,0.11766186,0.16921028,0.7954786
28,0.006786030553761388,0.09194607,0.112213746,0.19204532,0.7365533
29,0.006554423164809486,0.09023485,0.12223494,0.21981789,0.6548473
30,0.006593851676332337,0.090278015,0.106496505,0.1900162,0.74209106
31,0.00563867576219755,0.08343946,0.09262976,0.13287915,0.8738756
32,0.00560728332387127,0.08295856,0.11502209,0.15856339,0.8204063
33,0.005987093850373867,0.08516233,0.100206904,0.18205577,0.7632477
34,0.005207591605407097,0.0792042,0.12048798,0.1995386,0.7155938
35,0.0052863380165562215,0.07870519,0.11904743,0.16921832,0.7954592
36,0.005129732146611314,0.07762375,0.11287134,0.19220059,0.7361272
37,0.004505620625815008,0.0737591,0.10505699,0.19182359,0.73716134
38,0.004412290787131641,0.071769156,0.1548822,0.20254453,0.70696044
39,0.005059818383597411,0.07568861,0.10911952,0.18667392,0.7510842
40,0.0038326717200499183,0.067488424,0.11735874,0.19125721,0.73871124
41,0.004201006860844113,0.06950085,0.12809156,0.20360745,0.70387673
42,0.0039980445117872585,0.06769921,0.10461242,0.2060464,0.6967399
43,0.004572456541837087,0.071821086,0.20979546,0.30111513,0.3523351
44,0.003969771751355685,0.066559106,0.19830315,0.28921336,0.40252203
45,0.0037201986629262778,0.065348014,0.1227768,0.19927154,0.7163546
46,0.003793619079758075,0.06474565,0.12486826,0.20305255,0.7054886
47,0.003528741653732003,0.06297329,0.11332063,0.20860323,0.6891669
