epoch,train_loss,train_mae,val_mae,val_rmse,val_r2
0,0.04265948010626996,0.328784,0.21334295,0.34842896,0.26072717
1,0.02275254633646495,0.22128896,0.22290528,0.33303174,0.32462102
2,0.019754527090578386,0.20492561,0.23367949,0.3368066,0.30922365
3,0.01826728093852796,0.19751342,0.23758829,0.37749773,0.13222933
4,0.015819599741313715,0.18545018,0.30092308,0.43553028,-0.15508246
5,0.01329891228273806,0.17143416,0.24873929,0.35115004,0.24913514
6,0.012002318309122089,0.16251406,0.24609196,0.34763038,0.26411194
7,0.01004048375560358,0.14768271,0.21611108,0.3224001,0.36705405
8,0.008785239854218935,0.13721952,0.19559668,0.30918327,0.41788566
9,0.007582428627693564,0.12822066,0.18770674,0.30119672,0.44757056
10,0.007326776636672197,0.126437,0.27136377,0.37510717,0.14318496
11,0.008256130930183842,0.13207069,0.23354688,0.3557337,0.2294048
12,0.007322562136917864,0.12556483,0.19037412,0.30604336,0.429649
13,0.006555479483236328,0.11852299,0.18046167,0.2957973,0.46719944
14,0.006728043244911892,0.11848671,0.23324966,0.34239027,0.28612995
15,0.0065082382678174145,0.116591655,0.18750544,0.2940757,0.47338337
16,0.006461405114611924,0.11684354,0.22956876,0.3960019,0.045071483
17,0.005909208360469282,0.111162,0.22666036,0.33716616,0.3077479
18,0.0059535169079530945,0.11170271,0.18476032,0.29376078,0.47451067
19,0.006698443240827263,0.115893,0.19059135,0.295563,0.4680431
20,0.005851224011806126,0.1095284,0.16978148,0.29392314,0.47392958
21,0.00541652805208791,0.105512805,0.18014494,0.29937476,0.45423377
22,0.005570062025828232,0.10607851,0.19243203,0.30413494,0.43674004
23,0.005433561508589894,0.10579695,0.21566498,0.32317242,0.3640179
24,0.004881697600836506,0.09891146,0.19839308,0.31522444,0.3949154
25,0.004541504139191296,0.095201924,0.2623694,0.38060734,0.11787391
26,0.0050142567194445,0.10124658,0.1500012,0.27523503,0.53869975
27,0.005022280305476472,0.1008411,0.18537472,0.30361184,0.43867588
28,0.004946823750558023,0.09954657,0.24414673,0.38342282,0.10477501
29,0.004672239852681903,0.09642773,0.17980908,0.29774314,0.4601665
30,0.00415468792716908,0.090507224,0.20782374,0.3174691,0.38626736
31,0.004640903999328171,0.09540547,0.1709948,0.28318506,0.511666
32,0.004028811474505923,0.090668894,0.2119111,0.31228545,0.40614587
33,0.004352179150751765,0.091346785,0.2156065,0.31911245,0.37989706
34,0.004493499799437895,0.09361314,0.20727016,0.31543443,0.394109
35,0.004278079820981268,0.091385305,0.18864055,0.28863883,0.49267548
36,0.004428840550077655,0.09283384,0.18256833,0.30034503,0.45069033
37,0.004130548396433639,0.08988316,0.15819073,0.28006053,0.5223826
38,0.003948675542332158,0.088525265,0.19561046,0.3051425,0.43300188
39,0.0035577198884698866,0.08395072,0.19962111,0.30868632,0.4197554
40,0.003948264770292778,0.085647926,0.20784716,0.3175842,0.38582224
41,0.003515517256121234,0.08253811,0.26978585,0.3717045,0.15865916
42,0.0036803556232722382,0.082932875,0.19067755,0.30306128,0.44070983
43,0.0033589392879719636,0.080725566,0.18026112,0.29402372,0.4735695
44,0.0031711855859468036,0.07723964,0.17526451,0.29631433,0.4653352
45,0.003204418126134073,0.07694102,0.17736854,0.28945962,0.4897861
46,0.003221788024068764,0.07863858,0.16882695,0.2871347,0.49794912
47,0.0032080135269016764,0.077577665,0.22311048,0.34016082,0.2953964
48,0.004494720548944603,0.09166487,0.19228373,0.3121067,0.40682548
49,0.003596638676267818,0.08486041,0.20059861,0.31915173,0.3797444
50,0.004070465512905676,0.0869842,0.21832447,0.3824034,0.10952908
51,0.0033412279819350433,0.08044392,0.19466887,0.31081754,0.41171557
