epoch,train_loss,train_mae,val_mae,val_rmse,val_r2
0,0.03745222012281653,0.2868509,0.22550674,0.3659421,0.18454313
1,0.025535508993434142,0.22747648,0.2175727,0.3582275,0.21856272
2,0.022587829258980917,0.21153244,0.21396504,0.2986217,0.45697588
3,0.021864450552400102,0.2057911,0.18494245,0.3141774,0.39892852
4,0.020247913027593347,0.19636194,0.20008045,0.32152587,0.37048197
5,0.018927617513507536,0.19004185,0.20242758,0.32278815,0.36552942
6,0.018175424164714845,0.18453708,0.1988654,0.32157007,0.370309
7,0.016631523066993198,0.17647023,0.19229043,0.3235329,0.3625983
8,0.015674643715117797,0.16973066,0.21621604,0.3276163,0.34640712
9,0.014248233837566364,0.16234556,0.18878485,0.29875547,0.45648938
10,0.013860999145083598,0.16037002,0.2134902,0.31449533,0.39771128
11,0.013698873390665965,0.1602953,0.190408,0.2974557,0.46120828
12,0.012527141374743518,0.15339851,0.20301314,0.30207998,0.44432586
13,0.012206952868402843,0.15102015,0.2236751,0.31414112,0.39906722
14,0.011344122473068687,0.14618304,0.22769986,0.31123838,0.41012144
15,0.010135508298943122,0.13801526,0.20057271,0.30485836,0.43405724
16,0.009376332033236788,0.132705,0.19858007,0.29930887,0.45447403
17,0.009465742177436934,0.13354804,0.21066889,0.31093436,0.4112733
18,0.009364397773416378,0.13239004,0.19952032,0.30805346,0.4221322
19,0.009103137428184284,0.13154307,0.20449153,0.30990368,0.41516984
20,0.009126252012310532,0.13050047,0.22178836,0.32330686,0.3634886
21,0.008958372473874054,0.12939782,0.212685,0.3192541,0.37934637
22,0.008910011070117622,0.13038336,0.22003949,0.32616425,0.352188
23,0.008480203022544801,0.1261738,0.2162553,0.332043,0.32862538
24,0.008548060768999177,0.12620571,0.22048979,0.334865,0.31716496
25,0.008400361391223824,0.12565933,0.2204951,0.33004168,0.33669406
26,0.00816895875886821,0.124647826,0.22839783,0.33573055,0.3136304
27,0.00786472203053727,0.12331605,0.2226552,0.33662125,0.30998367
28,0.007911615566610618,0.12264594,0.22969283,0.34232336,0.28640896
