epoch,train_loss,train_mae,val_mae,val_rmse,val_r2
0,0.04191846326035489,0.31657436,0.22058006,0.37016547,0.1656118
1,0.0219359912213173,0.22156024,0.21138033,0.3230196,0.36461926
2,0.01628573517564701,0.18793696,0.25955668,0.36189616,0.20247501
3,0.011950401365882843,0.1598405,0.21578856,0.3379789,0.30440658
4,0.009600735608769397,0.14527828,0.19829522,0.30514908,0.43297732
5,0.00796358163236758,0.13269399,0.21295522,0.3450347,0.27506042
6,0.006944859118792354,0.12311421,0.20554663,0.30698502,0.42613375
7,0.006362988628228908,0.11719362,0.24528491,0.3759929,0.13913393
8,0.005729703472818139,0.11074128,0.18560384,0.27955803,0.52409506
9,0.0051272729045170285,0.10517367,0.25478777,0.3839159,0.102470994
10,0.005084056948911533,0.105597794,0.18548898,0.28432146,0.5077388
11,0.004377630009076785,0.09829152,0.21740101,0.3463669,0.26945138
12,0.004679062995647483,0.09921465,0.24404708,0.34822586,0.26158863
13,0.004139441406345918,0.09498483,0.23403288,0.3790408,0.12512052
14,0.003981252664727419,0.09344402,0.21045046,0.35539842,0.23085672
15,0.0037277346113245716,0.090552874,0.21940269,0.3593574,0.21362543
16,0.003937664660436378,0.09120775,0.17920096,0.2837812,0.5096078
17,0.0033628461588287376,0.085558146,0.2217374,0.33863726,0.30169398
18,0.003675610915747752,0.088240944,0.22101763,0.3558021,0.22910845
19,0.0035460502906127724,0.086729944,0.17982578,0.28777766,0.49569827
20,0.003264602215822706,0.084059946,0.27524048,0.43878248,-0.1723975
21,0.0031359674231262527,0.08095351,0.23940045,0.34845987,0.26059592
22,0.003054008512851585,0.08103228,0.24395587,0.4015479,0.01813668
23,0.003128543870155448,0.08100221,0.20748682,0.33341888,0.3230499
24,0.0030174796096665937,0.07947635,0.25898644,0.40334195,0.009343505
25,0.0028247131120732374,0.07770274,0.18289138,0.28204408,0.5155931
26,0.00281951049888645,0.07709218,0.1963912,0.30941898,0.41699773
27,0.002724689370855534,0.07498781,0.19027491,0.29154742,0.48239946
28,0.002255704050316257,0.069837056,0.18557425,0.29156074,0.48235214
29,0.0021936346004352075,0.06812042,0.19364004,0.3000137,0.45190167
30,0.0021642665094921474,0.0673896,0.1999258,0.32181767,0.3693388
31,0.002050359282358906,0.0665007,0.18782458,0.29023194,0.4870599
32,0.0021630478905527517,0.06746077,0.18065867,0.28080288,0.5198473
33,0.002218552734120749,0.06792063,0.19244766,0.3063406,0.42854053
34,0.0020663041374588444,0.06614662,0.1808135,0.28600252,0.50190055
35,0.002110902250687768,0.06667077,0.18518004,0.2864791,0.50023925
36,0.0021204606902330424,0.06600099,0.20140125,0.31796417,0.38435173
37,0.002023548257696077,0.065161444,0.19625805,0.30681604,0.42676538
38,0.002025135157423761,0.06513946,0.18012209,0.27902117,0.5259211
39,0.0019902681959646142,0.06417054,0.20354511,0.31921965,0.37948036
40,0.0018948742146168516,0.06352764,0.19176653,0.29696047,0.4630009
41,0.002033225638500356,0.06446966,0.19634296,0.30796424,0.42246687
