video_id,hole_id,airflow_rate,material,delta_T,voltage,pressure_Pa,session
T5P_2025-10-7-13-16-52_29_23_6_,2,1.28288,gypsum,6.0,,5,gypsum_10_hole
T5P_2025-10-7-13-16-52_29_23_6_,3,0.77207,gypsum,6.0,,5,gypsum_10_hole
T5P_2025-10-7-13-16-52_29_23_6_,4,0.6743,gypsum,6.0,,5,gypsum_10_hole
T5P_2025-10-7-13-16-52_29_23_6_,5,0.3466,gypsum,6.0,,5,gypsum_10_hole
T5P_2025-10-7-13-16-52_29_23_6_,6,1.21733,gypsum,6.0,,5,gypsum_10_hole
T5P_2025-10-7-13-16-52_29_23_6_,7,0.87922,gypsum,6.0,,5,gypsum_10_hole
T5P_2025-10-7-13-16-52_29_23_6_,8,0.88848,gypsum,6.0,,5,gypsum_10_hole
T5P_2025-10-7-13-16-52_29_23_6_,9,0.68248,gypsum,6.0,,5,gypsum_10_hole
T5P_2025-10-7-17-20-17_29_23_6_,2,1.28288,gypsum,6.0,,5,gypsum_10_hole
T5P_2025-10-7-17-20-17_29_23_6_,3,0.77207,gypsum,6.0,,5,gypsum_10_hole
T5P_2025-10-7-17-20-17_29_23_6_,4,0.6743,gypsum,6.0,,5,gypsum_10_hole
T5P_2025-10-7-17-20-17_29_23_6_,5,0.3466,gypsum,6.0,,5,gypsum_10_hole
T5P_2025-10-7-17-20-17_29_23_6_,6,1.21733,gypsum,6.0,,5,gypsum_10_hole
T5P_2025-10-7-17-20-17_29_23_6_,7,0.87922,gypsum,6.0,,5,gypsum_10_hole
T5P_2025-10-7-17-20-17_29_23_6_,8,0.88848,gypsum,6.0,,5,gypsum_10_hole
T5P_2025-10-7-17-20-17_29_23_6_,9,0.68248,gypsum,6.0,,5,gypsum_10_hole
T10P_2025-10-2-19-18-36_29_23_6_,2,2.44422,gypsum,6.0,,10,gypsum_10_hole
T10P_2025-10-2-19-18-36_29_23_6_,3,1.44655,gypsum,6.0,,10,gypsum_10_hole
T10P_2025-10-2-19-18-36_29_23_6_,4,1.22677,gypsum,6.0,,10,gypsum_10_hole
T10P_2025-10-2-19-18-36_29_23_6_,5,0.57855,gypsum,6.0,,10,gypsum_10_hole
T10P_2025-10-2-19-18-36_29_23_6_,6,2.257,gypsum,6.0,,10,gypsum_10_hole
T10P_2025-10-2-19-18-36_29_23_6_,7,1.58468,gypsum,6.0,,10,gypsum_10_hole
T10P_2025-10-2-19-18-36_29_23_6_,8,1.60244,gypsum,6.0,,10,gypsum_10_hole
T10P_2025-10-2-19-18-36_29_23_6_,9,1.1197,gypsum,6.0,,10,gypsum_10_hole
T10P_2025-10-3-11-51-11_29_23_6_,2,2.44422,gypsum,6.0,,10,gypsum_10_hole
T10P_2025-10-3-11-51-11_29_23_6_,3,1.44655,gypsum,6.0,,10,gypsum_10_hole
T10P_2025-10-3-11-51-11_29_23_6_,4,1.22677,gypsum,6.0,,10,gypsum_10_hole
T10P_2025-10-3-11-51-11_29_23_6_,5,0.57855,gypsum,6.0,,10,gypsum_10_hole
T10P_2025-10-3-11-51-11_29_23_6_,6,2.257,gypsum,6.0,,10,gypsum_10_hole
T10P_2025-10-3-11-51-11_29_23_6_,7,1.58468,gypsum,6.0,,10,gypsum_10_hole
T10P_2025-10-3-11-51-11_29_23_6_,8,1.60244,gypsum,6.0,,10,gypsum_10_hole
T10P_2025-10-3-11-51-11_29_23_6_,9,1.1197,gypsum,6.0,,10,gypsum_10_hole
T10P_2025-10-8-11-55-38_29_23_6_,2,2.44422,gypsum,6.0,,10,gypsum_10_hole
T10P_2025-10-8-11-55-38_29_23_6_,3,1.44655,gypsum,6.0,,10,gypsum_10_hole
T10P_2025-10-8-11-55-38_29_23_6_,4,1.22677,gypsum,6.0,,10,gypsum_10_hole
T10P_2025-10-8-11-55-38_29_23_6_,5,0.57855,gypsum,6.0,,10,gypsum_10_hole
T10P_2025-10-8-11-55-38_29_23_6_,6,2.257,gypsum,6.0,,10,gypsum_10_hole
T10P_2025-10-8-11-55-38_29_23_6_,7,1.58468,gypsum,6.0,,10,gypsum_10_hole
T10P_2025-10-8-11-55-38_29_23_6_,8,1.60244,gypsum,6.0,,10,gypsum_10_hole
T10P_2025-10-8-11-55-38_29_23_6_,9,1.1197,gypsum,6.0,,10,gypsum_10_hole
T15P_2025-10-3-13-6-15_29_23_6_,2,3.51317,gypsum,6.0,,15,gypsum_10_hole
T15P_2025-10-3-13-6-15_29_23_6_,3,2.05314,gypsum,6.0,,15,gypsum_10_hole
T15P_2025-10-3-13-6-15_29_23_6_,4,1.70635,gypsum,6.0,,15,gypsum_10_hole
T15P_2025-10-3-13-6-15_29_23_6_,5,0.76566,gypsum,6.0,,15,gypsum_10_hole
T15P_2025-10-3-13-6-15_29_23_6_,6,3.17961,gypsum,6.0,,15,gypsum_10_hole
T15P_2025-10-3-13-6-15_29_23_6_,7,2.19096,gypsum,6.0,,15,gypsum_10_hole
T15P_2025-10-3-13-6-15_29_23_6_,8,2.21646,gypsum,6.0,,15,gypsum_10_hole
T15P_2025-10-3-13-6-15_29_23_6_,9,1.46882,gypsum,6.0,,15,gypsum_10_hole
T15P_2025-10-3-14-39-20_29_23_6_,2,3.51317,gypsum,6.0,,15,gypsum_10_hole
T15P_2025-10-3-14-39-20_29_23_6_,3,2.05314,gypsum,6.0,,15,gypsum_10_hole
T15P_2025-10-3-14-39-20_29_23_6_,4,1.70635,gypsum,6.0,,15,gypsum_10_hole
T15P_2025-10-3-14-39-20_29_23_6_,5,0.76566,gypsum,6.0,,15,gypsum_10_hole
T15P_2025-10-3-14-39-20_29_23_6_,6,3.17961,gypsum,6.0,,15,gypsum_10_hole
T15P_2025-10-3-14-39-20_29_23_6_,7,2.19096,gypsum,6.0,,15,gypsum_10_hole
T15P_2025-10-3-14-39-20_29_23_6_,8,2.21646,gypsum,6.0,,15,gypsum_10_hole
T15P_2025-10-3-14-39-20_29_23_6_,9,1.46882,gypsum,6.0,,15,gypsum_10_hole
