video_id,hole_id,airflow_rate,delta_T,pressure_Pa,material,session,source_dataset_key
temp_2025-10-28-12-28-6_23_29_6_,1,6.55011,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-13-46-8_23_29_6_,1,6.55011,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-14-41-13_23_29_6_,1,6.55011,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-29-11-44-36_23_29_6_,1,6.55011,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-12-28-6_23_29_6_,10,9.01801,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-13-46-8_23_29_6_,10,9.01801,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-14-41-13_23_29_6_,10,9.01801,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-29-11-44-36_23_29_6_,10,9.01801,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-12-28-6_23_29_6_,2,1.53848,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-13-46-8_23_29_6_,2,1.53848,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-14-41-13_23_29_6_,2,1.53848,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-29-11-44-36_23_29_6_,2,1.53848,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-12-28-6_23_29_6_,3,0.83126,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-13-46-8_23_29_6_,3,0.83126,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-14-41-13_23_29_6_,3,0.83126,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-29-11-44-36_23_29_6_,3,0.83126,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-12-28-6_23_29_6_,4,0.66954,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-13-46-8_23_29_6_,4,0.66954,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-14-41-13_23_29_6_,4,0.66954,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-29-11-44-36_23_29_6_,4,0.66954,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-12-28-6_23_29_6_,5,0.15353,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-13-46-8_23_29_6_,5,0.15353,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-14-41-13_23_29_6_,5,0.15353,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-29-11-44-36_23_29_6_,5,0.15353,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-12-28-6_23_29_6_,6,1.40111,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-13-46-8_23_29_6_,6,1.40111,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-14-41-13_23_29_6_,6,1.40111,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-29-11-44-36_23_29_6_,6,1.40111,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-12-28-6_23_29_6_,7,0.80081,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-13-46-8_23_29_6_,7,0.80081,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-14-41-13_23_29_6_,7,0.80081,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-29-11-44-36_23_29_6_,7,0.80081,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-12-28-6_23_29_6_,8,1.05574,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-13-46-8_23_29_6_,8,1.05574,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-14-41-13_23_29_6_,8,1.05574,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-29-11-44-36_23_29_6_,8,1.05574,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-12-28-6_23_29_6_,9,0.32839,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-13-46-8_23_29_6_,9,0.32839,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-14-41-13_23_29_6_,9,0.32839,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-29-11-44-36_23_29_6_,9,0.32839,6.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-12-23-45_23_31_8_,1,6.55011,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-13-42-6_23_31_8_,1,6.55011,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-14-36-45_23_31_8_,1,6.55011,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-29-11-40-25_23_31_8_,1,6.55011,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-12-23-45_23_31_8_,10,9.01801,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-13-42-6_23_31_8_,10,9.01801,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-14-36-45_23_31_8_,10,9.01801,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-29-11-40-25_23_31_8_,10,9.01801,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-12-23-45_23_31_8_,2,1.53848,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-13-42-6_23_31_8_,2,1.53848,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-14-36-45_23_31_8_,2,1.53848,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-29-11-40-25_23_31_8_,2,1.53848,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-12-23-45_23_31_8_,3,0.83126,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-13-42-6_23_31_8_,3,0.83126,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-14-36-45_23_31_8_,3,0.83126,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-29-11-40-25_23_31_8_,3,0.83126,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-12-23-45_23_31_8_,4,0.66954,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-13-42-6_23_31_8_,4,0.66954,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-14-36-45_23_31_8_,4,0.66954,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-29-11-40-25_23_31_8_,4,0.66954,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-12-23-45_23_31_8_,5,0.15353,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-13-42-6_23_31_8_,5,0.15353,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-14-36-45_23_31_8_,5,0.15353,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-29-11-40-25_23_31_8_,5,0.15353,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-12-23-45_23_31_8_,6,1.40111,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-13-42-6_23_31_8_,6,1.40111,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-14-36-45_23_31_8_,6,1.40111,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-29-11-40-25_23_31_8_,6,1.40111,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-12-23-45_23_31_8_,7,0.80081,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-13-42-6_23_31_8_,7,0.80081,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-14-36-45_23_31_8_,7,0.80081,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-29-11-40-25_23_31_8_,7,0.80081,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-12-23-45_23_31_8_,8,1.05574,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-13-42-6_23_31_8_,8,1.05574,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-14-36-45_23_31_8_,8,1.05574,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-29-11-40-25_23_31_8_,8,1.05574,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-12-23-45_23_31_8_,9,0.32839,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-13-42-6_23_31_8_,9,0.32839,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-14-36-45_23_31_8_,9,0.32839,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-29-11-40-25_23_31_8_,9,0.32839,8.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
temp_2025-10-28-12-21-26_23_33_10_,1,6.55011,10.0,2.0,gypsum,gypsum_10hole,gypsum_10holes_0903
