hotspot_area,hotspot_temp_change_rate,hotspot_temp_change_magnitude,activity_mean,activity_median,activity_std,activity_max,activity_sum,temp_mean_avg,temp_std_avg,temp_min_overall,temp_max_overall,avg_pixel_slope,max_abs_pixel_slope,std_pixel_slope,avg_pixel_mag,max_pixel_mag,delta_T,airflow_rate
4968,0.033826788133807774,0.25899446644069,0.03201347689335662,0.030348802454270133,0.006106539370140371,0.05429732023203621,159.04295320619568,25.832281508768233,0.8457045488083557,23.4276161193848,26.8684005737305,0.03382678813380824,0.05708476612691143,0.006378151603137237,0.25899446644069385,0.525762557983402,13.6,1.8
1616,0.03688771103327126,0.2696992725428977,0.035211517475670355,0.034008859005590565,0.0053357096338278905,0.05800255213850552,56.9018122406833,26.21263290561072,0.11919047458140275,25.1026630401611,26.6708030700684,0.03688771103327031,0.0602842278268709,0.005479972450045314,0.2696992725428917,0.502914428710902,11.1,1.8
291,0.006637809881108078,0.03315894792170582,0.0058331052270122075,0.005616401220207599,0.0014929394564032216,0.011086067967057679,1.6974336210605525,24.366648812441476,0.18764132546559584,23.9981784820557,24.9283828735352,0.006637809881108248,0.011879434390943982,0.00150883283343502,0.03315894792169982,0.22977256774900212,8.6,1.8
3925,0.019720527533126475,0.1263118102444203,0.01852469062812077,0.017732428220650003,0.0066283602516959104,0.040085108355308145,72.70941071537402,24.943166573999488,0.15876229032917222,23.8219299316406,25.4102611541748,0.01972052753312607,0.04164874476401884,0.0067618885401225974,0.12631181024441643,0.4031410217285014,6.1,1.8
419,0.006033162032893522,0.1202077160018149,0.0051925767443497545,0.004901790007332579,0.0012707672305079718,0.010062254998327413,2.175689655882547,24.76009958599518,0.11159624899654938,24.1335315704346,24.9820384979248,0.006033162032893689,0.010972016827976095,0.0012868107473273888,0.12020771600181775,0.2555122375487997,4.6,1.8
350,0.025076794547949772,0.25788148062570215,0.023723916109657916,0.01712372320420595,0.020465149256716105,0.09911249576877888,8.30337063838027,24.041487873949325,0.6776350547053329,23.2230453491211,26.9604778289795,0.02507679454794937,0.10127358362168327,0.02063925007664738,0.2578814806256952,1.1263618469237997,13.3,2.4
444,0.008167118476080789,0.07778212830827513,0.007240215296068126,0.006569975123864566,0.0025171711247982246,0.017168964741387183,3.214655591454248,25.53642767889006,0.9846114382164005,24.1876239776611,27.4196186065674,0.00816711847608077,0.018175678321867894,0.0025447642920892574,0.07778212830827494,0.2827606201172017,10.8,2.4
193,0.00634682776957335,0.04382890493758396,0.005484988641561725,0.005240849984328297,0.0015293680089698515,0.011448083160639838,1.058602807821413,26.57355411549306,0.06140929413520684,26.3406085968018,26.8815593719482,0.006346827769574519,0.012203334703027612,0.0015221930774276863,0.04382890493759747,0.1847229003906996,10.8,2.4
23,0.006984638497042116,0.04045503035834486,0.00607304640197433,0.0057311898818488685,0.0009024504777851175,0.007971837418803862,0.1396800672454096,24.426840402354365,0.0524912997037345,24.2146606445312,24.6058311462402,0.006984638497042127,0.00890550693543618,0.0009475264263467817,0.04045503035834779,0.188848495483402,8.3,2.4
287,0.015442760618843225,0.14753091127614937,0.014160579457339333,0.012095019213356043,0.008380585798059342,0.04428961352272059,4.064086304256389,24.003625813128636,0.5333000389550516,23.263988494873,26.1022071838379,0.01544276061884283,0.04564637027296357,0.008456824184135478,0.14753091127614326,0.507345199584897,5.8,2.4
1137,0.01422769051666407,0.09772652329953857,0.01301434137996618,0.01162957368055391,0.005843932988641509,0.032564570842813396,14.797306149021548,25.35945852318246,0.13139229550851897,24.4980716705322,25.8898105621338,0.014227690516665212,0.03383989780604989,0.005944050935973794,0.09772652329954995,0.3885154724120987,4.3,2.4
241,0.019902070733108596,0.1936254461771192,0.018977232336372125,0.014537633695881281,0.013526789679687307,0.06104490780011391,4.573512993065682,23.10085933447873,0.33493129669691113,22.6067028045654,24.3767070770264,0.019902070733108478,0.06220250078180451,0.013599794468954592,0.19362544617712307,0.6773586273193004,13.6,1.6
453,0.006561917027795841,0.16447242837868004,0.005443179436078514,0.005149813623328069,0.0015302907338299496,0.00999600342255567,2.465760284543567,26.122243874825653,0.12056491387198491,25.6636352539062,26.5124473571777,0.006561917027795557,0.011260915804308255,0.001572038405373314,0.164472428378672,0.3443164825438991,11.1,1.6
529,0.014031875478732983,0.02725107232654267,0.012101217698339668,0.011495188684404675,0.0030202257092057675,0.022537432899364763,6.4015441624216844,25.31903143581686,0.10826611659942982,24.8746948242188,25.8499298095703,0.0140318754787333,0.024797054899842377,0.003117627805014772,0.02725107232654396,0.2943191528319993,8.6,1.6
216,0.012461615825715954,0.12447715688634986,0.01158336410306484,0.008864879860291136,0.007454789700700011,0.03168287883427279,2.5020066462620054,23.000642064942255,0.3149170235674989,22.4967231750488,24.1335315704346,0.012461615825715647,0.032563774869075475,0.00749461828740977,0.12447715688634932,0.35373306274419747,6.1,1.6
121,0.019460442087647217,0.2023594280904959,0.01850510146959327,0.01727416531760913,0.006128059807487284,0.03826685455461179,2.2391172778207857,23.171582529682755,0.3211479531048338,22.5792198181152,24.1335315704346,0.019460442087646797,0.03932109480144406,0.006137937956749122,0.20235942809048857,0.46206092834480117,4.6,1.6
711,0.01341578367676229,0.07991322116341948,0.01249987671970762,0.011614042777090576,0.005538438463087826,0.031010016413599937,8.887412347712118,25.476848092166346,0.15043933279849792,24.9283828735352,25.9296703338623,0.013415783676762242,0.032196120483109276,0.0056413156209160304,0.07991322116342316,0.24053955078129974,11.1,2.1
101,0.005908000068646261,0.0633429725571446,0.005217472063210779,0.005050188371147456,0.0008470187655511568,0.007675868315678997,0.5269646783842887,24.784686257390696,0.09917877156176191,24.5250263214111,25.1026630401611,0.0059080000686463794,0.008436265741648621,0.0008659103909751193,0.06334297255715157,0.2152481079100994,8.6,2.1
28,0.011584142820029378,0.08721031461442763,0.010405021007983866,0.009852574757099518,0.0016909917439379505,0.015085895905007305,0.29134058822354825,24.969934832709182,0.0692213875816983,24.6865653991699,25.2097644805908,0.011584142820029767,0.016452141311846656,0.0017215237012531373,0.08721031461442522,0.21442413330069954,6.1,2.1
26,0.007622030640212354,0.09392723670373115,0.006628767200192392,0.006007126228006896,0.001428210390308932,0.010442328260526114,0.17234794720500218,24.422697812593906,0.06044496739769936,24.1605892181396,24.6058311462402,0.007622030640212292,0.01142613157934077,0.0014586871030152098,0.09392723670373443,0.2160358428955007,4.6,2.1
