video_id,hole_id,airflow_rate,material,delta_T,voltage,pressure_Pa
T1.4V_2.2Pa_2025-6-16-16-59-16_20_26_6_,1_centerhole,0.20152,brick_cladding,6.0,1.4,0.5
T1.4V_2.2Pa_2025-6-16-16-59-16_20_26_6_,2_cornerhole,0.04612,brick_cladding,6.0,1.4,0.5
T1.4V_2025-08-08-19-56-34_20_28_8_,1_centerhole,0.20152,brick_cladding,8.0,1.4,0.5
T1.4V_2025-08-08-19-56-34_20_28_8_,2_cornerhole,0.04612,brick_cladding,8.0,1.4,0.5
T1.4V_2.2Pa_2025-6-16-16-43-12_20_30_10_,1_centerhole,0.20152,brick_cladding,10.0,1.4,0.5
T1.4V_2.2Pa_2025-6-16-16-43-12_20_30_10_,2_cornerhole,0.04612,brick_cladding,10.0,1.4,0.5
T1.4V_2025-08-08-19-44-50_20_32_12_,1_centerhole,0.20152,brick_cladding,12.0,1.4,0.5
T1.4V_2025-08-08-19-44-50_20_32_12_,2_cornerhole,0.04612,brick_cladding,12.0,1.4,0.5
T1.4V_2.2Pa_2025-6-16-16-33-25_20_34_14_,1_centerhole,0.20152,brick_cladding,14.0,1.4,0.5
T1.4V_2.2Pa_2025-6-16-16-33-25_20_34_14_,2_cornerhole,0.04612,brick_cladding,14.0,1.4,0.5
T1.6V_2025-08-05-20-22-42_20_26_6_,1_centerhole,0.52413,brick_cladding,6.0,1.6,2.2
T1.6V_2025-08-05-20-22-42_20_26_6_,2_cornerhole,0.15154,brick_cladding,6.0,1.6,2.2
T1.6V_2025-08-08-19-32-17_20_28_8_,1_centerhole,0.41483,brick_cladding,8.0,1.6,1.5
T1.6V_2025-08-08-19-32-17_20_28_8_,2_cornerhole,0.11366,brick_cladding,8.0,1.6,1.5
T1.6V_2025-08-05-20-06-57_20_30_10_,1_centerhole,0.52413,brick_cladding,10.0,1.6,2.2
T1.6V_2025-08-05-20-06-57_20_30_10_,2_cornerhole,0.15154,brick_cladding,10.0,1.6,2.2
T1.6V_2025-08-08-19-20-36_20_32_12_,1_centerhole,0.41483,brick_cladding,12.0,1.6,1.5
