video_id,hole_id,airflow_rate,material,delta_T,voltage,pressure_Pa
T1.4V_2025-07-17-17-36-27_22_26_4_,1,0.41474,gypsum,4.0,1.4,2.5
T1.4V_2025-07-17-17-08-40_22_30_8_,1,0.41474,gypsum,8.0,1.4,2.5
T1.4V_2025-08-01-18-56-23_20_28_8_,1,0.41474,gypsum,8.0,1.4,2.5
T1.4V_2025-07-17-16-56-31_22_34_12_,1,0.41474,gypsum,12.0,1.4,2.5
T1.4V_2025-08-01-18-45-09_20_32_12_,1,0.41474,gypsum,12.0,1.4,2.5
temp_2025-3-7-19-45-8_21.4_26_4.6_,1,0.49703,gypsum,4.6,1.6,3.3
T1.6V_2025-07-28-18-04-15_20_26_6_,1,0.38087,gypsum,6.0,1.6,2.2
temp_2025-3-7-19-36-44_21.4_27.5_6.1_,1,0.49703,gypsum,6.1,1.6,3.3
temp_2025-3-7-19-26-18_21.4_30_8.6_,1,0.49703,gypsum,8.6,1.6,3.3
T1.6V_2025-07-28-17-46-40_20_30_10_,1,0.38087,gypsum,10.0,1.6,2.2
temp_2025-3-7-19-19-42_21.4_32.5_11.1_,1,0.49703,gypsum,11.1,1.6,3.3
T1.6V_2025-08-01-18-32-31_20_28_12_,1,0.38087,gypsum,12.0,1.6,2.2
T1.6V_2025-08-01-18-20-58_20_32_12_,1,0.38087,gypsum,12.0,1.6,2.2
temp_2025-3-7-19-14-21_21.4_35_13.6_,1,0.49703,gypsum,13.6,1.6,3.3
T1.6V_2025-07-28-17-36-55_20_34_14_,1,0.38087,gypsum,14.0,1.6,2.2
temp_2025-3-7-17-45-42_21.4_26_4.6_,1,0.645,gypsum,4.6,1.8,5.0
T1.8V_2025-07-25-17-05-54_20_26_6_,1,0.49703,gypsum,6.0,1.8,3.3
temp_2025-3-7-17-37-1_21.4_27.5_6.1_,1,0.645,gypsum,6.1,1.8,5.0
T1.8V_2025-08-01-18-10-03_20_28_8_,1,0.49703,gypsum,8.0,1.8,3.3
temp_2025-3-7-17-26-11_21.4_30_8.6_,1,0.645,gypsum,8.6,1.8,5.0
T1.8V_2025-07-25-16-47-16_20_30_10_,1,0.49703,gypsum,10.0,1.8,3.3
