video_id,hole_id,airflow_rate,material,delta_T,voltage,pressure_Pa,session,hotspot_area,hotspot_avg_temp_change_rate_initial,hotspot_avg_temp_change_magnitude_initial,peak_pixel_temp_change_rate_initial,peak_pixel_temp_change_magnitude_initial,temp_mean_avg_initial,temp_std_avg_initial,temp_min_overall_initial,temp_max_overall_initial,stabilized_mean_deltaT,overall_mean_deltaT,max_abs_mean_deltaT,stabilized_std_deltaT,overall_std_deltaT,hotspot_solidity,time_to_peak_mean_temp,temperature_skewness,temperature_kurtosis,bbox_area,bbox_aspect_ratio,cumulative_raw_delta_sum,cumulative_abs_delta_sum,auc_mean_temp_delta,mean_pixel_volatility
T1.4V_2025-07-17-17-36-27_22_26_4_,1,0.41474,gypsum,4.0,1.4,2.5,gypsum_new,806,0.0046549960987686,0.0344935646719726,0.0047213690621512,0.052896499633789,25.172494272132663,0.3552420386822188,23.509334564208984,26.43317222595215,0.0482347572972333,0.0347761347591638,0.065783278226263,0.3576265213077823,0.3565573946082691,0.9987608426270136,9.4,-0.2772199306159097,1.1616404484930785,961,1.0,418.1123371124267,1798.0700206756592,0.1438638968739869,1.96298033901243
T1.4V_2025-07-17-17-08-40_22_30_8_,1,0.41474,gypsum,8.0,1.4,2.5,gypsum_new,283,0.0036329721346713,0.025830090256548,0.0107621037682821,0.0396575927734375,25.34505454262238,0.3771628742388413,23.94398307800293,26.538854598999023,0.0360380342642092,0.0311153355251361,0.0593694882342354,0.3877456866388854,0.3842799150681937,0.7256410256410256,9.6,-0.0024886101304834,0.7322438474556647,621,1.173913043478261,187.16416931152344,615.1530303955078,0.1384995120153057,1.9266480961452528
T1.4V_2025-08-01-18-56-23_20_28_8_,1,0.41474,gypsum,8.0,1.4,2.5,gypsum_new,173,0.0132188022336156,0.133606442137264,0.0282478332519531,0.3294849395751953,22.16109039306641,0.1801807105003502,21.62618637084961,22.853710174560547,0.1957522047882513,0.138810030692806,0.2197012818617629,0.2387054218901977,0.2132795885075609,1.067901234567901,9.8,0.9870805807435888,1.0797321037868883,247,0.6842105263157895,623.8157730102539,753.8225326538086,0.7095095992777559,1.9785605634568055
T1.4V_2025-08-01-18-45-09_20_32_12_,1,0.41474,gypsum,12.0,1.4,2.5,gypsum_new,196,0.014512636223618,0.1518103443846428,0.0352260393974108,0.4399299621582031,22.06259722067385,0.1701225157016998,21.62618637084961,22.7851619720459,0.2485997866355009,0.172546194491744,0.2749909965359443,0.2406058320035906,0.2095128119475848,1.0343007915567282,9.8,0.996174563103528,1.2057401385331454,294,0.6666666666666666,874.5845260620117,967.949951171875,0.8772521554207388,1.9796706121795031
T1.6V_2025-07-28-18-04-15_20_26_6_,1,0.38087,gypsum,6.0,1.6,2.2,gypsum_new,200,0.0122645473480235,0.136341886520384,0.0340216500418526,0.3810043334960937,22.926778589630125,0.1997908816957674,22.565473556518555,23.754060745239254,0.2113650457482583,0.1530272063573196,0.2321437454223627,0.2458959869024505,0.227510453893931,1.0389610389610389,8.8,1.4256058205766458,1.6880413410563664,304,0.8421052631578947,845.7054748535156,948.375659942627,0.832071286201471,2.0671168041229246
T1.6V_2025-07-28-17-46-40_20_30_10_,1,0.38087,gypsum,10.0,1.6,2.2,gypsum_new,192,0.0169271727403005,0.1579675177733079,0.0425993010055187,0.475168228149414,23.022426872849465,0.2525842571909867,22.59295654296875,24.038808822631836,0.3015733659267411,0.2023215268055585,0.4306769867738076,0.3063723765776379,0.2827195918742294,1.0909090909090908,9.2,1.3563601343748657,1.32795818923279,240,0.9375,993.469804763794,1068.4236316680908,1.0202112942933916,1.9683798849582672
T1.6V_2025-07-28-17-36-55_20_34_14_,1,0.38087,gypsum,14.0,1.6,2.2,gypsum_new,237,0.0157250480812813,0.1853969831506887,0.0471133655971951,0.4616851806640625,23.11042350640277,0.213417362444376,22.757728576660156,24.06588554382324,0.2629828981471109,0.2053531112348972,0.2866396924111392,0.2862375791385999,0.2541700177057578,1.0651685393258428,9.4,1.4932009989969477,1.859040767801802,340,0.85,1524.543426513672,1578.4378509521484,1.2679948388272593,2.0295336679064273
T1.8V_2025-07-25-17-05-54_20_26_6_,1,0.49703,gypsum,6.0,1.8,3.3,gypsum_new,289,0.0155676871435019,0.1630446028131942,0.0522410563933543,0.5842666625976562,22.648057345618017,0.3139622836891529,22.221220016479492,23.984634399414062,0.2785840012774938,0.1950716751257042,0.2964071386000704,0.3885098639002807,0.3588954919216833,1.078358208955224,8.4,1.7011521151942277,2.5324051003425208,360,0.9,1582.326250076294,1684.6533679962158,1.078731006899519,1.9198265801664045
T1.8V_2025-07-25-16-47-16_20_30_10_,1,0.49703,gypsum,10.0,1.8,3.3,gypsum_new,284,0.0151691974048884,0.182790024179809,0.0608699552474483,0.5801601409912109,23.0697915298838,0.3816930272782007,22.565473556518555,24.713470458984375,0.3960718889427329,0.2617613098878818,0.4253252459243981,0.4704494437752496,0.4326452187143286,1.083969465648855,9.8,1.6918373725317235,2.4849351760268377,360,0.9,1855.772466659546,1936.2056713104248,1.2886030163563504,1.9064261275278012
T1.8V_2025-08-01-17-59-10_20_32_12_,1,0.49703,gypsum,12.0,1.8,3.3,gypsum_new,244,0.016137871803048,0.1727026876856072,0.0514364242553711,0.5065536499023438,22.29384471064709,0.2063905133945424,21.806468963623047,23.25034523010254,0.2885315862578279,0.199803146091314,0.3087271393322552,0.3177477332140145,0.2640059257797401,1.0317124735729386,9.8,1.349153912313893,1.787274144046199,345,0.6521739130434783,1264.2259006500244,1347.7032070159912,1.018980469469153,2.0177849238036107
