video_id,airflow_rate,delta_T,material,hotspot_area,hotspot_avg_temp_change_rate_initial,hotspot_avg_temp_change_magnitude_initial,peak_pixel_temp_change_rate_initial,peak_pixel_temp_change_magnitude_initial,temp_mean_avg_initial,temp_std_avg_initial,temp_min_overall_initial,temp_max_overall_initial,stabilized_mean_deltaT,overall_mean_deltaT,max_abs_mean_deltaT,stabilized_std_deltaT,overall_std_deltaT,mean_area_significant_change,stabilized_area_significant_change,max_area_significant_change,num_hotspots,hotspot_solidity,centroid_distance,time_to_peak_mean_temp,temperature_skewness,temperature_kurtosis,rate_of_std_change_initial,peak_to_average_ratio,radial_profile_0,radial_profile_1,radial_profile_2,radial_profile_3,radial_profile_4,bbox_area,bbox_aspect_ratio
T1.4V_2025-07-17-17-36-27_22_26_4_,0.41474,4.0,gypsum,555,0.0054682654303483,0.0440193348102759,0.0047213690621512,0.052896499633789,25.178778993761217,0.3657198805404592,23.618179321289062,26.43317222595215,0.0621105709591429,0.0452747874675216,0.0789739316648194,0.3671396633532935,0.3667845173720649,96.81333333333332,100.65789473684212,109,1,0.9511568123393316,0,9.4,-0.1216729164265561,0.831913558250506,0.0006492514812839,1.0498194623536647,25.394191676172717,25.449518670206484,25.20118624736101,25.136699322006464,25.061164538065594,783,1.0740740740740742
T1.4V_2025-07-17-17-08-40_22_30_8_,0.41474,8.0,gypsum,153,0.0051923069744659,0.0385185067170574,0.0107621037682821,0.0396575927734375,25.542879637175915,0.3263952809022397,24.70001792907715,26.538854598999023,0.0464698750824302,0.0418350528891571,0.0774111030927677,0.3420007879135297,0.3350954075032263,22.986666666666668,23.26315789473684,27,1,1.0625,0,9.6,0.2496563580240024,-0.0371809398953426,0.0013399686493603,1.0389922740102309,26.19632551405165,25.780623568428886,25.527556598186493,25.414144778251647,25.292778730392456,216,1.5
T2.4V_2025-07-17-18-57-25_22_34_12_,0.9497,12.0,gypsum,661,0.0058787535676736,0.0403150740261324,0.0174973805745442,0.1049938201904296,25.251964332880664,0.5086108298685424,23.34583854675293,27.3017520904541,0.1069962099599114,0.0640744411374236,0.1237631753064505,0.5285007011235026,0.5185405773230894,169.24666666666667,179.6578947368421,187,3,0.768158047646717,0,9.0,0.4847820275964763,1.4854828571951204,0.0011970227933411,1.0811733982573546,26.229930711829144,25.39612932006518,25.09988733869872,25.03807174313453,25.13251272837321,1020,0.8823529411764706
T2.0V_2025-07-17-18-13-32_22_30_8_,0.60481,8.0,gypsum,660,0.0046477023466128,0.033158946759773,0.0081980228424072,0.0787162780761718,25.443134805737127,0.4764381387977803,23.65896224975586,27.275537490844727,0.0677925925886031,0.0461549305578664,0.0932302330479473,0.4861152784960754,0.482320682119827,166.04666666666665,167.1578947368421,174,3,0.8418367346938775,0,7.4,0.3327369748874825,1.1697775801201713,0.0010661913744985,1.0720195329348494,25.309452760415,25.4224197631929,25.466726752868382,25.58168330063691,25.44195035408283,1088,1.0625
T2.0V_2025-07-17-18-00-56_22_34_12_,0.60481,12.0,gypsum,240,0.0050281286239695,0.0737823963165276,0.0135183334350585,0.1050434112548828,25.59188401969274,0.5238422487744309,23.72690200805664,27.209978103637695,0.1159133944595051,0.0850520065625493,0.1281931797663347,0.535741540452702,0.5302816369600133,70.00666666666666,69.89473684210526,78,1,0.8872458410351202,0,9.8,0.1292654144185213,0.5513192514043497,0.0007885826116456,1.063226844991164,26.283897263663157,25.882775193766545,25.50441640336937,25.195437661532697,24.957231521606445,396,0.8181818181818182
T2.4V_2025-07-17-19-09-10_22_30_8_,0.9497,8.0,gypsum,287,0.0065192494458233,0.064667645231772,0.005045303931603,0.0131072998046875,25.61072631237814,0.5528112909362415,23.56377220153809,27.327957153320312,0.0857176681887936,0.0660044820078866,0.1074045427169565,0.5581491476495064,0.5571302766404298,89.65333333333334,90.0,97,1,0.8306801736613604,0,9.4,0.0677249459226234,0.8336764944063337,0.0007112189433351,1.067051235486133,26.339203396359004,25.82570315361023,25.463512565408433,25.14744430118137,24.7680440382524,440,0.9090909090909092
T2.4V_2025-07-17-19-34-26_22_26_4_,0.9497,4.0,gypsum,800,0.0036496010091566,0.0280601000785836,0.004124641418457,0.0527858734130859,25.0356241563797,0.4340354320032894,23.41400146484375,26.64442443847656,0.0499646735818764,0.0302322886149091,0.0637936449050897,0.4380312862423312,0.4362817874121016,181.14666666666668,184.73684210526315,193,3,0.9232544720138488,0,9.6,0.1478096084746593,0.8139170916243907,0.0005812125929182,1.064260442322022,25.600556225246855,25.264449918592295,25.025571265828955,24.92352962159274,24.93799409987051,1085,1.1290322580645162
T2.2V_2025-07-25-17-23-25_20_34_14_,0.76483,14.0,gypsum,329,0.0314573331306423,0.3288462734512265,0.0939688475235648,1.0277462005615234,22.737190067210097,0.4396549772019026,22.13840675354004,24.673112869262695,0.4664291678724456,0.3486239509234662,0.5105920635095842,0.5715583315174753,0.5135403742067083,82.48666666666666,98.52631578947368,106,1,1.0786885245901638,0,9.8,1.6105666881593712,2.17301530273507,0.0166015377104826,1.0851434498427512,23.938939412434895,23.62605583667755,22.987753102653905,22.647542417049408,22.512845900323654,396,0.8181818181818182
T3.0V_2025-07-28-16-03-14_20_30_10_,1.28246,10.0,gypsum,223,0.0203311817528417,0.2057207389797319,0.0523725237165178,0.4621429443359375,22.80819435239373,0.342045998873237,22.262590408325195,23.971080780029297,0.3661663189569054,0.2587635528952189,0.3896795366911618,0.4178027398359878,0.3852614112240143,51.49333333333333,64.97368421052632,69,1,1.0825242718446602,0,7.4,1.1876420539587036,0.719636094806317,0.0115946702589359,1.050985466436694,23.766037940979004,23.48979573779636,23.016352772712708,22.69601933579696,22.57412933266681,288,0.8888888888888888
T1.6V_2025-07-28-17-36-55_20_34_14_,0.38087,14.0,gypsum,198,0.0178674415305809,0.2084975676103084,0.0471133655971951,0.4616851806640625,23.140573071566497,0.2201671920919298,22.757728576660156,24.06588554382324,0.2914587720032397,0.2280728141707612,0.3130302043876263,0.292457740360411,0.2605035911223682,29.273333333333333,38.5,43,1,1.0909090909090908,0,9.4,1.2878479576965096,1.1974558771472052,0.0093583235243157,1.0399865841435754,23.778322366567757,23.53664583630032,23.22080971300602,23.05482871392194,23.00273098665125,270,0.8333333333333334
T2.6V_2025-07-25-18-16-07_20_30_10_,1.06148,10.0,gypsum,308,0.0204162621888516,0.2452542255451142,0.0580698649088541,0.6173954010009766,23.368041429891218,0.500201326523607,22.757728576660156,25.263259887695312,0.3549346997162615,0.2658247296634691,0.3836017955433242,0.5626544578105648,0.5387206193656772,70.72666666666667,79.13157894736842,84,1,1.0826010544815463,0,9.6,1.5821720833712738,1.7935806981138305,0.0105439430756024,1.0811030082897677,24.53953478886531,24.265019754568737,23.60211411275362,23.212959502507186,23.07383077284869,378,0.8571428571428571
T2.0V_2025-07-28-17-12-33_20_26_6_,0.60481,6.0,gypsum,145,0.0185866027042758,0.1802245041419716,0.0386837550571986,0.393157958984375,23.29196333654995,0.2473029840089974,22.853710174560547,24.174100875854492,0.2859324470838469,0.2064999672900653,0.4015102386474609,0.2988118543723836,0.2774431028527754,24.24,32.55263157894737,49,1,1.1068702290076335,0,9.4,1.027011569111695,0.3977581154361003,0.0074003989042105,1.0378730434424257,23.98306390974257,23.79152841567993,23.474169182777405,23.23229158401489,23.13135136090792,196,1.0
