delta_T_log,hotspot_avg_temp_change_rate_initial_norm,material_brick_cladding,material_gypsum
1.9600947840472698,0.002850599193975107,1,0
2.4932054526026954,0.003482684792533852,1,0
2.681021528714291,0.0024541832708935337,1,0
2.6602595372658615,0.003900191139374707,0,1
2.2617630984737906,0.0033590039676242634,1,0
1.9600947840472698,0.005106199377074564,0,1
2.2617630984737906,0.00544487397458456,1,0
2.4932054526026954,0.002128846730477866,1,0
2.681021528714291,0.0034837568053236534,0,1
1.7227665977411035,0.005377900241609416,1,0
2.2617630984737906,0.005338033020054692,0,1
2.4932054526026954,0.0036301289516773565,0,1
2.4932054526026954,0.0021574377045646045,1,0
2.681021528714291,0.0084188227576732,0,1
1.9600947840472698,0.004471814774752381,1,0
1.916922612182061,0.005748218534902638,0,1
2.2617630984737906,0.002830024662545336,1,0
1.9600947840472698,,1,0
1.7227665977411035,0.008046176361798368,0,1
2.681021528714291,0.002250512641955441,1,0
1.9600947840472698,0.006358468593294421,0,1
1.7227665977411035,0.0060852560652992025,1,0
2.2300144001592104,0.005325011666362658,0,1
1.9600947840472698,0.0045524127847158665,0,1
2.468099531471619,0.00487540697186838,0,1
2.681021528714291,0.002793752786939539,1,0
2.4932054526026954,0.008846589663365224,0,1
1.7227665977411035,0.003810559228112918,1,0
2.2617630984737906,0.003543185189115255,0,1
2.681021528714291,0.0027598119001527002,0,1
2.4932054526026954,0.00355868104920153,1,0
1.7227665977411035,0.0054930410281235735,0,1
2.681021528714291,0.0019571562762199872,1,0
