mat_filepath,mask_paths,delta_T,airflow_rate,material,video_id
/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_gypsum/FanPower_1.6V/temp_2025-3-7-19-36-44_21.4_27.5_6.1_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_gypsum/FanPower_1.6V/temp_2025-3-7-19-36-44_21.4_27.5_6.1_/temp_2025-3-7-19-36-44_21.4_27.5_6.1__sam_mask.npy'],6.1,1.6,gypsum,temp_2025-3-7-19-36-44_21.4_27.5_6.1_
/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_brickcladding/FanPower_1.6V/temp_2025-3-11-20-31-48_21.4_30_8.6_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_brickcladding/FanPower_1.6V/temp_2025-3-11-20-31-48_21.4_30_8.6_/temp_2025-3-11-20-31-48_21.4_30_8.6__sam_mask.npy'],8.6,1.6,brick_cladding,temp_2025-3-11-20-31-48_21.4_30_8.6_
/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_gypsum2/FanPower_1.8V/T1.8V_2025-07-25-16-37-05_20_34_14_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_gypsum2/FanPower_1.8V/T1.8V_2025-07-25-16-37-05_20_34_14_/T1.8V_2025-07-25-16-37-05_20_34_14__mask_0.npy'],14.0,1.8,gypsum,T1.8V_2025-07-25-16-37-05_20_34_14_
/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_gypsum2/FanPower_3.0V/T3.0V_2025-07-28-16-17-19_20_26_6_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_gypsum2/FanPower_3.0V/T3.0V_2025-07-28-16-17-19_20_26_6_/T3.0V_2025-07-28-16-17-19_20_26_6__mask_0.npy'],6.0,3.0,gypsum,T3.0V_2025-07-28-16-17-19_20_26_6_
/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_gypsum2/FanPower_1.6V/T1.6V_2025-07-28-17-36-55_20_34_14_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_gypsum2/FanPower_1.6V/T1.6V_2025-07-28-17-36-55_20_34_14_/T1.6V_2025-07-28-17-36-55_20_34_14__mask_0.npy'],14.0,1.6,gypsum,T1.6V_2025-07-28-17-36-55_20_34_14_
/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_gypsum2/FanPower_2.0V/T2.0V_2025-07-17-18-00-56_22_34_12_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_gypsum2/FanPower_2.0V/T2.0V_2025-07-17-18-00-56_22_34_12_/T2.0V_2025-07-17-18-00-56_22_34_12__mask_0.npy'],12.0,2.0,gypsum,T2.0V_2025-07-17-18-00-56_22_34_12_
/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_gypsum2/FanPower_2.0V/T2.0V_2025-07-17-18-13-32_22_30_8_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_gypsum2/FanPower_2.0V/T2.0V_2025-07-17-18-13-32_22_30_8_/T2.0V_2025-07-17-18-13-32_22_30_8__mask_0.npy'],8.0,2.0,gypsum,T2.0V_2025-07-17-18-13-32_22_30_8_
/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_gypsum2/FanPower_1.8V/T1.8V_2025-07-25-17-05-54_20_26_6_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_gypsum2/FanPower_1.8V/T1.8V_2025-07-25-17-05-54_20_26_6_/T1.8V_2025-07-25-17-05-54_20_26_6__mask_0.npy'],6.0,1.8,gypsum,T1.8V_2025-07-25-17-05-54_20_26_6_
/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_gypsum/FanPower_1.8V/temp_2025-3-7-17-26-11_21.4_30_8.6_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_gypsum/FanPower_1.8V/temp_2025-3-7-17-26-11_21.4_30_8.6_/temp_2025-3-7-17-26-11_21.4_30_8.6__sam_mask.npy'],8.6,1.8,gypsum,temp_2025-3-7-17-26-11_21.4_30_8.6_
/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_brickcladding/FanPower_1.6V/temp_2025-3-11-21-0-25_21.4_26_4.6_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_brickcladding/FanPower_1.6V/temp_2025-3-11-21-0-25_21.4_26_4.6_/temp_2025-3-11-21-0-25_21.4_26_4.6__sam_mask.npy'],4.6,1.6,brick_cladding,temp_2025-3-11-21-0-25_21.4_26_4.6_
