video_id,mat_filepath,mask_paths,delta_T,airflow_rate,material
T2.0V_2025-07-17-18-00-56_22_34_12_,/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_gypsum2/FanPower_2.0V/T2.0V_2025-07-17-18-00-56_22_34_12_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_gypsum2/FanPower_2.0V/T2.0V_2025-07-17-18-00-56_22_34_12_/T2.0V_2025-07-17-18-00-56_22_34_12__mask_0.npy'],12.0,2.0,gypsum
temp_2025-3-7-17-37-1_21.4_27.5_6.1_,/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_gypsum/FanPower_1.8V/temp_2025-3-7-17-37-1_21.4_27.5_6.1_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_gypsum/FanPower_1.8V/temp_2025-3-7-17-37-1_21.4_27.5_6.1_/temp_2025-3-7-17-37-1_21.4_27.5_6.1__sam_mask.npy'],6.1,1.8,gypsum
T2.8V_2025-07-25-19-31-52_20_26_6_,/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_gypsum2/FanPower_2.8V/T2.8V_2025-07-25-19-31-52_20_26_6_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_gypsum2/FanPower_2.8V/T2.8V_2025-07-25-19-31-52_20_26_6_/T2.8V_2025-07-25-19-31-52_20_26_6__mask_0.npy'],6.0,2.8,gypsum
temp_2025-3-7-19-36-44_21.4_27.5_6.1_,/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_gypsum/FanPower_1.6V/temp_2025-3-7-19-36-44_21.4_27.5_6.1_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_gypsum/FanPower_1.6V/temp_2025-3-7-19-36-44_21.4_27.5_6.1_/temp_2025-3-7-19-36-44_21.4_27.5_6.1__sam_mask.npy'],6.1,1.6,gypsum
T2.6V_2025-07-25-18-32-38_20_26_6_,/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_gypsum2/FanPower_2.6V/T2.6V_2025-07-25-18-32-38_20_26_6_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_gypsum2/FanPower_2.6V/T2.6V_2025-07-25-18-32-38_20_26_6_/T2.6V_2025-07-25-18-32-38_20_26_6__mask_0.npy'],6.0,2.6,gypsum
temp_2025-2-27-18-43-42_21.7_30_8.3_,/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_gypsum/FanPower_2.4V/temp_2025-2-27-18-43-42_21.7_30_8.3_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_gypsum/FanPower_2.4V/temp_2025-2-27-18-43-42_21.7_30_8.3_/temp_2025-2-27-18-43-42_21.7_30_8.3__sam_mask.npy'],8.3,2.4,gypsum
temp_2025-3-7-18-6-40_21.4_35_13.6_,/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_gypsum/FanPower_2.1V/temp_2025-3-7-18-6-40_21.4_35_13.6_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_gypsum/FanPower_2.1V/temp_2025-3-7-18-6-40_21.4_35_13.6_/temp_2025-3-7-18-6-40_21.4_35_13.6__sam_mask.npy'],13.6,2.1,gypsum
temp_2025-3-7-18-12-0_21.4_32.5_11.1_,/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_gypsum/FanPower_2.1V/temp_2025-3-7-18-12-0_21.4_32.5_11.1_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_gypsum/FanPower_2.1V/temp_2025-3-7-18-12-0_21.4_32.5_11.1_/temp_2025-3-7-18-12-0_21.4_32.5_11.1__sam_mask.npy'],11.1,2.1,gypsum
T2.0V_2025-07-17-18-13-32_22_30_8_,/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_gypsum2/FanPower_2.0V/T2.0V_2025-07-17-18-13-32_22_30_8_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_gypsum2/FanPower_2.0V/T2.0V_2025-07-17-18-13-32_22_30_8_/T2.0V_2025-07-17-18-13-32_22_30_8__mask_0.npy'],8.0,2.0,gypsum
T1.6V_2025-07-28-18-04-15_20_26_6_,/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/datasets/dataset_gypsum2/FanPower_1.6V/T1.6V_2025-07-28-18-04-15_20_26_6_.mat,['/Users/shreyas/Desktop/UoU/Independent-Study/Airflow-rate-prediction/output_SAM/datasets/dataset_gypsum2/FanPower_1.6V/T1.6V_2025-07-28-18-04-15_20_26_6_/T1.6V_2025-07-28-18-04-15_20_26_6__mask_0.npy'],6.0,1.6,gypsum
